year,refugees,asylum_seekers,idps,stateless,hst,ooc
1951,2116011.0,0.0,0.0,0.0,0.0,0.0
1952,1952928.0,0.0,0.0,0.0,0.0,0.0
1953,1847304.0,0.0,0.0,0.0,0.0,0.0
1954,1749628.0,0.0,0.0,0.0,0.0,0.0
1955,1717966.0,0.0,0.0,0.0,0.0,0.0
1956,1767975.0,0.0,0.0,0.0,0.0,0.0
1957,1742514.0,0.0,0.0,0.0,0.0,0.0
1958,1698310.0,0.0,0.0,0.0,0.0,0.0
1959,1674185.0,0.0,0.0,0.0,0.0,0.0
1960,1656664.0,0.0,0.0,0.0,0.0,0.0
1961,1789067.0,0.0,0.0,0.0,0.0,0.0
1962,1765622.0,0.0,0.0,0.0,0.0,0.0
1963,1682403.0,0.0,0.0,0.0,0.0,0.0
1964,3079949.0,0.0,0.0,0.0,0.0,0.0
1965,3531615.0,0.0,0.0,0.0,0.0,0.0
1966,3501013.0,0.0,0.0,0.0,0.0,0.0
1967,2356991.0,0.0,0.0,0.0,0.0,0.0
1968,2463736.0,0.0,0.0,0.0,0.0,0.0
1969,2531177.0,0.0,0.0,0.0,0.0,0.0
1970,2464730.0,0.0,0.0,0.0,0.0,0.0
1971,3279710.0,0.0,0.0,0.0,0.0,0.0
1972,3251850.0,0.0,0.0,0.0,0.0,0.0
1973,2901335.0,0.0,0.0,0.0,0.0,0.0
1974,2994463.0,0.0,0.0,0.0,0.0,0.0
1975,3529434.0,0.0,0.0,0.0,0.0,0.0
1976,4270631.0,0.0,0.0,0.0,0.0,0.0
1977,4518659.0,0.0,0.0,0.0,0.0,0.0
1978,5065844.0,0.0,0.0,0.0,0.0,0.0
1979,6279912.0,0.0,0.0,0.0,0.0,0.0
1980,8454917.0,0.0,0.0,0.0,0.0,0.0
1981,9714297.0,0.0,0.0,0.0,0.0,0.0
1982,10319353.0,0.0,0.0,0.0,0.0,0.0
1983,10620784.0,0.0,0.0,0.0,0.0,0.0
1984,10728307.0,0.0,0.0,0.0,0.0,0.0
1985,11864046.0,0.0,0.0,0.0,0.0,0.0
1986,12633964.0,0.0,0.0,0.0,0.0,0.0
1987,13128334.0,0.0,0.0,0.0,0.0,0.0
1988,14347031.0,0.0,0.0,0.0,0.0,0.0
1989,14732885.0,0.0,0.0,0.0,0.0,0.0
1990,17395914.0,0.0,0.0,0.0,0.0,0.0
1991,16854762.0,0.0,0.0,0.0,0.0,0.0
1992,17838020.0,0.0,0.0,0.0,0.0,0.0
1993,16325299.0,743601.0,4198400.0,0.0,0.0,0.0
1994,15753494.0,644640.0,5322990.0,0.0,0.0,0.0
1995,14895916.0,986458.0,4286690.0,0.0,0.0,0.0
1996,13356861.0,977087.0,4853712.0,0.0,0.0,0.0
1997,12014967.0,1028200.0,4573112.0,0.0,0.0,1404100.0
1998,11480438.0,977800.0,5063880.0,0.0,0.0,1378527.0
1999,11686760.0,1027400.0,3968648.0,0.0,0.0,1491142.0
2000,12129079.0,947322.0,5998501.0,0.0,0.0,1653841.0
2001,12116301.0,943383.0,5096502.0,0.0,0.0,1039510.0
2002,10593526.0,1093121.0,4646641.0,0.0,0.0,953319.0
2003,9592247.0,995567.0,4181701.0,0.0,0.0,905344.0
2004,9572719.0,884285.0,5426539.0,1455861.0,0.0,597042.0
2005,8661293.0,801119.0,6616791.0,2383651.0,0.0,960359.0
2006,9876879.0,740253.0,12794268.0,5805941.0,0.0,1045409.0
2007,11390082.0,739958.0,13740317.0,2938538.0,0.0,68615.0
2008,10488915.0,823931.0,14442227.0,6573465.0,0.0,166860.0
2009,10395713.0,988030.0,15628057.0,6559572.0,0.0,411691.0
2010,10548835.0,835969.0,14697804.0,3463073.0,0.0,1255578.0
2011,10403937.0,895691.0,15473378.0,3477100.0,0.0,1411844.0
2012,10497017.0,941497.0,17670368.0,3335772.0,0.0,1329600.0
2013,11698233.0,1162934.0,23925555.0,3469268.0,0.0,836073.0
2014,14384289.0,1794704.0,32274619.0,3492255.0,0.0,1052746.0
2015,16110276.0,3223460.0,37494172.0,3687759.0,0.0,870688.0
2016,17184286.0,2729521.0,36627127.0,3242206.0,0.0,803084.0
2017,19940566.0,3089507.0,39118516.0,3853982.0,0.0,1596125.0
2018,20359553.0,3501629.0,41425168.0,3851981.0,0.0,1182756.0
2019,20414669.0,4148141.0,43503362.0,4217774.0,2304506.0,3857179.0
2020,20661846.0,4184926.0,48557439.0,4179331.0,4369021.0,3939756.0
2021,21327285.0,4616135.0,51322623.0,4338192.0,6731133.0,4223095.0
2022,29429078.0,5442319.0,57321197.0,4428314.0,23957770.0,6008804.0
2023,31637408.0,6858499.0,63251367.0,4358188.0,26095474.0,5945550.0
2024,30958200.0,8352712.0,68131711.0,4360087.0,27279257.0,3820662.0
2025,30490994.0,8414659.0,63852580.0,4431462.0,27102295.0,2426293.0
